motif_id	motif_alt_id	TE_superfamily
MA0533.1	su(Hw)	LINE/I
MA2316.2	l(3)neo38	DNA/Maverick
MA0533.1	su(Hw)	DNA/DNA
MA2316.2	l(3)neo38	DNA/Maverick
MA2316.2	l(3)neo38	DNA/Maverick
MA2316.2	l(3)neo38	DNA/Maverick
MA2316.2	l(3)neo38	DNA/Maverick
MA2316.2	l(3)neo38	DNA/Maverick
MA2266.1	Rfx	LTR/LTR
MA2266.1	Rfx	LTR/GYPSY
MA2204.1	CG4360	LINE/I
MA2204.1	CG4360	LTR/GYPSY
MA2204.1	CG4360	DNA/Maverick
MA2204.1	CG4360	DNA/Maverick
MA2316.2	l(3)neo38	DNA/Maverick
MA2316.2	l(3)neo38	DNA/Maverick
MA2316.2	l(3)neo38	DNA/Maverick
MA2316.2	l(3)neo38	DNA/Maverick
MA0533.1	su(Hw)	DNA/DNA
MA0533.1	su(Hw)	LTR/COPIA
MA2204.1	CG4360	DNA/Maverick
MA2316.2	l(3)neo38	DNA/Maverick
MA2316.2	l(3)neo38	DNA/Maverick
MA2204.1	CG4360	LINE/JOCKEY
